"Concentration","time","se","cfu"
0,0,78155.827251289,166666.666666667
0,1,1047616.34198785,1350000
0,2,16462077.6331543,1.6e+07
0,3,33291640.592397,76666666.6666667
0,4,152752523.165195,333333333.333333
0,6,458257569.495584,1.6e+09
0,24,202072594.216369,1883333333.33333
0.25,0,22912.8784747792,115000
0.25,1,213775.583264319,430000
0.25,2,220812.892135702,296666.666666667
0.25,3,30138.5688667085,46666.6666666667
0.25,4,48952.3577913601,44333.3333333333
0.25,6,50275.0766616356,43166.6666666667
0.25,24,70000,80000
0.5,0,75055.5349946513,163333.333333333
0.5,1,99289.1400573765,221666.666666667
0.5,2,12583.0573921179,61666.6666666667
0.5,3,4041.45188432738,12666.6666666667
0.5,4,1747.37898961082,3533.33333333333
0.5,6,2462.21445044903,2250
0.5,24,13856.406460551,8500
1,0,40414.5188432738,158333.333333333
1,1,78475.0491132904,173333.333333333
1,2,12189.4763354844,26166.6666666667
1,3,288.675134594813,3333.33333333333
1,4,577.350269189626,833.333333333333
1,6,2830.78316607495,1733.33333333333
1,24,1068877717.515,850000166.666667
2,0,26457.5131106459,150000
2,1,30413.8126514911,140000
2,2,15750.6613617757,16833.3333333333
2,3,288.675134594813,1833.33333333333
2,4,763.762615825973,833.333333333333
2,6,28724.2638431925,16833.3333333333
2,24,288530760.780805,166833500
4,0,55752.4289455924,136666.666666667
4,1,75663.7297521078,135000
4,2,763.762615825973,5166.66666666667
4,3,2020.72594216369,1666.66666666667
4,4,550.75705472861,1033.33333333333
4,6,2150.77505409872,1483.33333333333
4,24,548338475.153197,316833333.333333
8,0,49244.2890089805,135000
8,1,40414.5188432738,131666.666666667
8,2,2466.44143115812,2666.66666666667
8,3,1443.37567297406,833.333333333333
8,4,2309.4010767585,1333.33333333333
8,6,4509.24975282289,4333.33333333333
8,24,28867224.7843467,16667000
16,0,55075.705472861,146666.666666667
16,1,26457.5131106459,1e+05
16,2,8371.57890324957,5333.33333333333
16,3,577.350269189626,333.333333333333
16,4,548.482755730145,316.666666666667
16,6,1289.70280814354,1066.66666666667
16,24,288675134.594813,166666666.666667
32,0,55075.705472861,143333.333333333
32,1,20816.6599946613,86666.6666666667
32,2,2886.75134594813,1666.66666666667
32,3,28.8675134594813,16.6666666666667
32,4,57.7350269189626,33.3333333333333
32,6,57.7350269189626,33.3333333333333
32,24,286817.160109595,168833.333333333
