"Concentration","time","se","cfu"
0,0,177693.556439169,245000
0,1,826135.582092915,1550000
0,2,6788470.61813877,12166666.6666667
0,3,47258156.2625261,96666666.6666667
0,4,292973263.854116,616666666.666667
0,6,327871926.2151,1.3e+09
0,24,550757054.72861,2466666666.66667
0.25,0,232719.43050234,281666.666666667
0.25,1,556776.436283002,1400000
0.25,2,3278719.262151,11500000
0.25,3,62516664.4450368,128333333.333333
0.25,4,173205080.756888,5.5e+08
0.25,6,152752523.165195,1383333333.33333
0.25,24,57735026.9189626,1533333333.33333
0.5,0,127671.453348037,210000
0.5,1,1537313.67434669,2233333.33333333
0.5,2,5965176.72272443,13333333.3333333
0.5,3,47696960.0708473,9.5e+07
0.5,4,275378527.364305,383333333.333333
0.5,6,132287565.55323,1.55e+09
0.5,24,529150262.212918,2.1e+09
1,0,61441.0286372225,230000
1,1,1144916.29970637,1716666.66666667
1,2,2254624.87641145,9833333.33333333
1,3,163273798.67368,161666666.666667
1,4,125830573.921179,416666666.666667
1,6,332916405.92397,1583333333.33333
1,24,721687836.487032,1333333333.33333
2,0,56789.0834580027,185000
2,1,750555.349946514,1566666.66666667
2,2,1802775.63773199,6500000
2,3,33291640.592397,78333333.3333333
2,4,110151410.945722,343333333.333333
2,6,132287565.55323,1.45e+09
2,24,742181469.273744,1633333333.33333
4,0,106926.766215636,176666.666666667
4,1,288675.134594813,733333.333333333
4,2,217944.947177034,1300000
4,3,5346338.31078181,13166666.6666667
4,4,17088007.4906351,5.2e+07
4,6,57735026.9189626,833333333.333333
4,24,825126252.965771,2083333333.33333
8,0,239078.09045024,278333.333333333
8,1,252306.031107727,363333.333333333
8,2,102510.162097879,198333.333333333
8,3,324281.256524847,276666.666666667
8,4,957862.203033401,9e+05
8,6,31258332.2225184,29166666.6666667
8,24,225462487.641145,2033333333.33333
16,0,163579.746097533,211666.666666667
16,1,219620.885467055,296666.666666667
16,2,9464.84724300045,29166.6666666667
16,3,1802.77563773199,7000
16,4,3547.29944229879,4666.66666666667
16,6,34641.0161513775,90000
16,24,351188458.428425,1616666666.66667
32,0,110000,215000
32,1,10408.3299973307,156666.666666667
32,2,3464.10161513775,11500
32,3,1040.83299973307,4333.33333333333
32,4,1755.94229214212,3333.33333333333
32,6,1527.52523165195,2333.33333333333
32,24,217944947.177034,1.6e+09
