"Concentration","time","se","cfu"
0,0,102510.162097879,198333.333333333
0,1,841130.192063036,1850000
0,2,3547299.44229879,12666666.6666667
0,3,29297326.3854116,98333333.3333333
0,4,104083299.973307,533333333.333333
0,6,1991858428.70421,2.2e+09
0,24,321455025.366432,2133333333.33333
0.25,0,104083.299973307,183333.333333333
0.25,1,28867.5134594813,916666.666666667
0.25,2,2600640.9466386,4933333.33333333
0.25,3,17559422.9214212,31666666.6666667
0.25,4,47696960.0708473,1.7e+08
0.25,6,229128784.747792,1.15e+09
0.25,24,259807621.135332,1.9e+09
0.5,0,98276.8199187038,188333.333333333
0.5,1,275378.527364305,816666.666666667
0.5,2,1408012.78403287,2950000
0.5,3,16653327.9957291,21333333.3333333
0.5,4,43108390.5212585,126666666.666667
0.5,6,317542648.054294,1233333333.33333
0.5,24,908753725.347706,2233333333.33333
1,0,98488.578017961,190000
1,1,458257.569495584,7e+05
1,2,1189887.94990677,1716666.66666667
1,3,4907477.28811182,10166666.6666667
1,4,40722639.0762354,58333333.3333333
1,6,1.5e+08,6.5e+08
1,24,529937103.186155,2016666666.66667
2,0,20207.2594216369,153333.333333333
2,1,505799.696849784,466666.666666667
2,2,987842.76751583,1616666.66666667
2,3,1802775.63773199,4500000
2,4,6557438.524302,1.9e+07
2,6,160727512.683216,333333333.333333
2,24,500832640.043891,1616666666.66667
4,0,45825.7569495584,140000
4,1,8660.25403784439,395000
4,2,150000,950000
4,3,1147097.78717132,1683333.33333333
4,4,5766281.2973354,7500000
4,6,88928810.479694,121666666.666667
4,24,327871926.2151,1.45e+09
8,0,148352.058743158,243333.333333333
8,1,86602.5403784439,350000
8,2,202072.594216369,533333.333333333
8,3,288675.134594813,666666.666666667
8,4,312249.89991992,1250000
8,6,12711543.3104456,18833333.3333333
8,24,388372673.257701,2033333333.33333
16,0,37749.1721763537,145000
16,1,208166.599946613,516666.666666667
16,2,340342.964277702,483333.333333333
16,3,361708.906903512,766666.666666667
16,4,388372.673257701,833333.333333333
16,6,1130265.45554573,1750000
16,24,360555127.546399,1.7e+09
32,0,47696.9600708473,155000
32,1,108972.473588517,325000
32,2,193993.12702602,376666.666666667
32,3,235070.91128707,338333.333333333
32,4,53928.9656245448,388333.333333333
32,6,390512.483795333,650000
32,24,427200187.265877,1.55e+09
