"Concentration","time","se","cfu"
0,0,57735.0269189626,416666.666666667
0,1,992891.400573765,1866666.66666667
0,2,5008326.40043891,14333333.3333333
0,3,48045117.6846652,118333333.333333
0,4,125830573.921179,433333333.333333
0,6,1866145760.65215,2.35e+09
0,24,381881307.912987,1583333333.33333
0.25,0,86746.7578644874,205000
0.25,1,104083.299973307,716666.666666667
0.25,2,144337.567297406,616666.666666667
0.25,3,425245.027405769,983333.333333333
0.25,4,217944.947177034,1450000
0.25,6,28867.5134594813,1983333.33333333
0.25,24,230940107.67585,333333333.333333
0.5,0,107587.17395675,295000
0.5,1,112509.258878251,338333.333333333
0.5,2,30413.8126514911,365000
0.5,3,333329.166640625,416666.666666667
0.5,4,53928.9656245448,338333.333333333
0.5,6,210732.848254213,461666.666666667
0.5,24,104083.299973307,733333.333333333
1,0,241936.630821654,413333.333333333
1,1,253294.953233051,411666.666666667
1,2,32787.19262151,135000
1,3,33291.640592397,68333.3333333333
1,4,62889.4532758342,84833.3333333333
1,6,70533.6798983294,90000
1,24,187873.849519653,162833.333333333
2,0,223681.320930768,396666.666666667
2,1,145028.732785381,303333.333333333
2,2,20816.6599946613,73333.3333333333
2,3,18513.5085815736,24500
2,4,3511.88458428425,12666.6666666667
2,6,3547.29944229879,8833.33333333333
2,24,17039.1705588427,10333.3333333333
4,0,205365.527779128,335000
4,1,55075.705472861,196666.666666667
4,2,32511.5364140177,38000
4,3,763.762615825973,8833.33333333333
4,4,2081.66599946613,3666.66666666667
4,6,866.025403784439,2500
4,24,288.675134594813,166.666666666667
8,0,140801.278403287,345000
8,1,17559.4229214212,181666.666666667
8,2,2466.44143115812,10333.3333333333
8,3,1527.52523165195,3333.33333333333
8,4,1258.30573921179,2333.33333333333
8,6,577.350269189626,833.333333333333
8,24,0,0
16,0,161580.733174885,271666.666666667
16,1,82815.0549920323,171666.666666667
16,2,4769.69600708473,3500
16,3,500,1500
16,4,288.675134594813,333.333333333333
16,6,577.350269189626,333.333333333333
16,24,0,0
32,0,155026.87938978,296666.666666667
32,1,50332.2295684717,101666.666666667
32,2,500,1000
32,3,288.675134594813,166.666666666667
32,4,0,0
32,6,0,0
32,24,0,0
