"Concentration","time","se","cfu"
0,0,55075.705472861,163333.333333333
0,1,1434398.82877811,1850000
0,2,5107184.48201485,10333333.3333333
0,3,50579969.6849784,96666666.6666667
0,4,3.5e+08,5.5e+08
0,6,346410161.513775,1.3e+09
0,24,709459888.459759,1133333333.33333
0.25,0,99624.2942258564,185000
0.25,1,1693369.42218761,2050000
0.25,2,3175426.48054294,10833333.3333333
0.25,3,37527767.4973257,51666666.6666667
0.25,4,144337567.297406,433333333.333333
0.25,6,482182538.049648,1.05e+09
0.25,24,3911627964.58627,4133333333.33333
0.5,0,42524.5027405769,146666.666666667
0.5,1,596517.672272443,1266666.66666667
0.5,2,2886751.34594813,9166666.66666667
0.5,3,22546248.7641145,76666666.6666667
0.5,4,352325606.979302,443333333.333333
0.5,6,3e+08,9.5e+08
0.5,24,850490054.811538,1916666666.66667
1,0,196871.362400257,223333.333333333
1,1,354729.944229879,966666.666666667
1,2,6027713.77334171,9166666.66666667
1,3,28431203.5153866,56666666.6666667
1,4,236290781.31263,383333333.333333
1,6,553022000.767902,1316666666.66667
1,24,1204505431.01031,1716666666.66667
2,0,60621.7782649107,145000
2,1,416333.199893227,583333.333333333
2,2,2753785.27364305,4833333.33333333
2,3,33955853.6926993,3.1e+07
2,4,222654440.782123,2.55e+08
2,6,425245027.405769,733333333.333333
2,24,818535277.187245,1.45e+09
4,0,165755.844542508,215000
4,1,69282.0323027551,260000
4,2,453688.586293873,583333.333333333
4,3,2065389.39024421,2116666.66666667
4,4,18346207.6008458,16833333.3333333
4,6,375277674.973257,366666666.666667
4,24,822090830.342568,1466666666.66667
8,0,11547.0053837925,143333.333333333
8,1,117508.864913815,231666.666666667
8,2,40414.5188432738,68333.3333333333
8,3,22787.0577302117,31500
8,4,53928.9656245448,63333.3333333333
8,6,1450183.89638464,1196666.66666667
8,24,229128784.747792,1.7e+09
16,0,115325.625946708,190000
16,1,132570.735835629,205000
16,2,24834.4518763753,21500
16,3,33054.2483401655,21833.3333333333
16,4,3669.24152016917,4066.66666666667
16,6,11838.3205453026,12083.3333333333
16,24,152752523.165195,583333333.333333
32,0,141096.893421979,188333.333333333
32,1,39051.2483795333,130000
32,2,2565.80071972344,12833.3333333333
32,3,27569.6088716059,18166.6666666667
32,4,2208.50628253578,1450
32,6,3312.97952503986,2183.33333333333
32,24,717250014.523062,421833333.333333
