"Concentration","time","se","cfu","source","bac","abx"
0,0,102510.162097879,198333.333333333,"Data","327","ery"
0,1,841130.192063036,1850000,"Data","327","ery"
0,2,3547299.44229879,12666666.6666667,"Data","327","ery"
0,3,29297326.3854116,98333333.3333333,"Data","327","ery"
0,4,104083299.973307,533333333.333333,"Data","327","ery"
0,6,1991858428.70421,2.2e+09,"Data","327","ery"
0.25,0,104083.299973307,183333.333333333,"Data","327","ery"
0.25,1,28867.5134594813,916666.666666667,"Data","327","ery"
0.25,2,2600640.9466386,4933333.33333333,"Data","327","ery"
0.25,3,17559422.9214212,31666666.6666667,"Data","327","ery"
0.25,4,47696960.0708473,1.7e+08,"Data","327","ery"
0.25,6,229128784.747792,1.15e+09,"Data","327","ery"
0.5,0,98276.8199187038,188333.333333333,"Data","327","ery"
0.5,1,275378.527364305,816666.666666667,"Data","327","ery"
0.5,2,1408012.78403287,2950000,"Data","327","ery"
0.5,3,16653327.9957291,21333333.3333333,"Data","327","ery"
0.5,4,43108390.5212585,126666666.666667,"Data","327","ery"
0.5,6,317542648.054294,1233333333.33333,"Data","327","ery"
1,0,98488.578017961,190000,"Data","327","ery"
1,1,458257.569495584,7e+05,"Data","327","ery"
1,2,1189887.94990677,1716666.66666667,"Data","327","ery"
1,3,4907477.28811182,10166666.6666667,"Data","327","ery"
1,4,40722639.0762354,58333333.3333333,"Data","327","ery"
1,6,1.5e+08,6.5e+08,"Data","327","ery"
2,0,20207.2594216369,153333.333333333,"Data","327","ery"
2,1,505799.696849784,466666.666666667,"Data","327","ery"
2,2,987842.76751583,1616666.66666667,"Data","327","ery"
2,3,1802775.63773199,4500000,"Data","327","ery"
2,4,6557438.524302,1.9e+07,"Data","327","ery"
2,6,160727512.683216,333333333.333333,"Data","327","ery"
4,0,45825.7569495584,140000,"Data","327","ery"
4,1,8660.25403784439,395000,"Data","327","ery"
4,2,150000,950000,"Data","327","ery"
4,3,1147097.78717132,1683333.33333333,"Data","327","ery"
4,4,5766281.2973354,7500000,"Data","327","ery"
4,6,88928810.479694,121666666.666667,"Data","327","ery"
8,0,148352.058743158,243333.333333333,"Data","327","ery"
8,1,86602.5403784439,350000,"Data","327","ery"
8,2,202072.594216369,533333.333333333,"Data","327","ery"
8,3,288675.134594813,666666.666666667,"Data","327","ery"
8,4,312249.89991992,1250000,"Data","327","ery"
8,6,12711543.3104456,18833333.3333333,"Data","327","ery"
16,0,37749.1721763537,145000,"Data","327","ery"
16,1,208166.599946613,516666.666666667,"Data","327","ery"
16,2,340342.964277702,483333.333333333,"Data","327","ery"
16,3,361708.906903512,766666.666666667,"Data","327","ery"
16,4,388372.673257701,833333.333333333,"Data","327","ery"
16,6,1130265.45554573,1750000,"Data","327","ery"
32,0,47696.9600708473,155000,"Data","327","ery"
32,1,108972.473588517,325000,"Data","327","ery"
32,2,193993.12702602,376666.666666667,"Data","327","ery"
32,3,235070.91128707,338333.333333333,"Data","327","ery"
32,4,53928.9656245448,388333.333333333,"Data","327","ery"
32,6,390512.483795333,650000,"Data","327","ery"
0,0,NA,198333.333333333,"model","327","ery"
0,1,NA,1525235.01905871,"model","327","ery"
0,2,NA,11684804.9922621,"model","327","ery"
0,3,NA,86982519.2098239,"model","327","ery"
0,4,NA,535199306.65198,"model","327","ery"
0,6,NA,2199889572.52942,"model","327","ery"
0.25,0,NA,183333.333333333,"model","327","ery"
0.25,1,NA,1010294.82702705,"model","327","ery"
0.25,2,NA,5556758.4483049,"model","327","ery"
0.25,3,NA,30244501.5883958,"model","327","ery"
0.25,4,NA,155800946.805061,"model","327","ery"
0.25,6,NA,1411292862.31448,"model","327","ery"
0.5,0,NA,188333.333333333,"model","327","ery"
0.5,1,NA,890486.688340097,"model","327","ery"
0.5,2,NA,4204220.66352985,"model","327","ery"
0.5,3,NA,19711807.8389134,"model","327","ery"
0.5,4,NA,89519977.5443783,"model","327","ery"
0.5,6,NA,962440659.645306,"model","327","ery"
1,0,NA,190000,"model","327","ery"
1,1,NA,736853.756919078,"model","327","ery"
1,2,NA,2854738.11786412,"model","327","ery"
1,3,NA,11016446.9486016,"model","327","ery"
1,4,NA,41878431.5189522,"model","327","ery"
1,6,NA,456386882.450633,"model","327","ery"
2,0,NA,153333.333333333,"model","327","ery"
2,1,NA,469453.493723984,"model","327","ery"
2,2,NA,1436568.57830164,"model","327","ery"
2,3,NA,4389162.60664468,"model","327","ery"
2,4,NA,13346636.7383464,"model","327","ery"
2,6,NA,115074272.173076,"model","327","ery"
4,0,NA,140000,"model","327","ery"
4,1,NA,331745.629040519,"model","327","ery"
4,2,NA,785897.934891468,"model","327","ery"
4,3,NA,1860595.39544018,"model","327","ery"
4,4,NA,4398337.07836811,"model","327","ery"
4,6,NA,24206316.7644902,"model","327","ery"
8,0,NA,243333.333333333,"model","327","ery"
8,1,NA,448890.504501444,"model","327","ery"
8,2,NA,827886.896073529,"model","327","ery"
8,3,NA,1526169.3514083,"model","327","ery"
8,4,NA,2811039.6400632,"model","327","ery"
8,6,NA,9480089.75879204,"model","327","ery"
16,0,NA,145000,"model","327","ery"
16,1,NA,214524.915495899,"model","327","ery"
16,2,NA,317362.138065823,"model","327","ery"
16,3,NA,469444.412775272,"model","327","ery"
16,4,NA,694292.470347903,"model","327","ery"
16,6,NA,1517379.75045264,"model","327","ery"
32,0,NA,155000,"model","327","ery"
32,1,NA,191931.692763796,"model","327","ery"
32,2,NA,237654.370680311,"model","327","ery"
32,3,NA,294256.213243862,"model","327","ery"
32,4,NA,364318.753629816,"model","327","ery"
32,6,NA,558336.956041753,"model","327","ery"
0,0,57735.0269189626,416666.666666667,"Data","327","tet"
0,1,992891.400573765,1866666.66666667,"Data","327","tet"
0,2,5008326.40043891,14333333.3333333,"Data","327","tet"
0,3,48045117.6846652,118333333.333333,"Data","327","tet"
0,4,125830573.921179,433333333.333333,"Data","327","tet"
0,6,1866145760.65215,2.35e+09,"Data","327","tet"
0.25,0,86746.7578644874,205000,"Data","327","tet"
0.25,1,104083.299973307,716666.666666667,"Data","327","tet"
0.25,2,144337.567297406,616666.666666667,"Data","327","tet"
0.25,3,425245.027405769,983333.333333333,"Data","327","tet"
0.25,4,217944.947177034,1450000,"Data","327","tet"
0.25,6,28867.5134594813,1983333.33333333,"Data","327","tet"
0.5,0,107587.17395675,295000,"Data","327","tet"
0.5,1,112509.258878251,338333.333333333,"Data","327","tet"
0.5,2,30413.8126514911,365000,"Data","327","tet"
0.5,3,333329.166640625,416666.666666667,"Data","327","tet"
0.5,4,53928.9656245448,338333.333333333,"Data","327","tet"
0.5,6,210732.848254213,461666.666666667,"Data","327","tet"
1,0,241936.630821654,413333.333333333,"Data","327","tet"
1,1,253294.953233051,411666.666666667,"Data","327","tet"
1,2,32787.19262151,135000,"Data","327","tet"
1,3,33291.640592397,68333.3333333333,"Data","327","tet"
1,4,62889.4532758342,84833.3333333333,"Data","327","tet"
1,6,70533.6798983294,90000,"Data","327","tet"
2,0,223681.320930768,396666.666666667,"Data","327","tet"
2,1,145028.732785381,303333.333333333,"Data","327","tet"
2,2,20816.6599946613,73333.3333333333,"Data","327","tet"
2,3,18513.5085815736,24500,"Data","327","tet"
2,4,3511.88458428425,12666.6666666667,"Data","327","tet"
2,6,3547.29944229879,8833.33333333333,"Data","327","tet"
4,0,205365.527779128,335000,"Data","327","tet"
4,1,55075.705472861,196666.666666667,"Data","327","tet"
4,2,32511.5364140177,38000,"Data","327","tet"
4,3,763.762615825973,8833.33333333333,"Data","327","tet"
4,4,2081.66599946613,3666.66666666667,"Data","327","tet"
4,6,866.025403784439,2500,"Data","327","tet"
8,0,140801.278403287,345000,"Data","327","tet"
8,1,17559.4229214212,181666.666666667,"Data","327","tet"
8,2,2466.44143115812,10333.3333333333,"Data","327","tet"
8,3,1527.52523165195,3333.33333333333,"Data","327","tet"
8,4,1258.30573921179,2333.33333333333,"Data","327","tet"
8,6,577.350269189626,833.333333333333,"Data","327","tet"
16,0,161580.733174885,271666.666666667,"Data","327","tet"
16,1,82815.0549920323,171666.666666667,"Data","327","tet"
16,2,4769.69600708473,3500,"Data","327","tet"
16,3,500,1500,"Data","327","tet"
16,4,288.675134594813,333.333333333333,"Data","327","tet"
16,6,577.350269189626,333.333333333333,"Data","327","tet"
32,0,155026.87938978,296666.666666667,"Data","327","tet"
32,1,50332.2295684717,101666.666666667,"Data","327","tet"
32,2,500,1000,"Data","327","tet"
32,3,288.675134594813,166.666666666667,"Data","327","tet"
32,4,0,0,"Data","327","tet"
32,6,0,0,"Data","327","tet"
0,0,NA,416666.666666667,"model","327","tet"
0,1,NA,3009154.65082774,"model","327","tet"
0,2,NA,21417788.8084915,"model","327","tet"
0,3,NA,138248932.843829,"model","327","tet"
0,4,NA,560940970.308444,"model","327","tet"
0,6,NA,1080193130.30712,"model","327","tet"
0.25,0,NA,205000,"model","327","tet"
0.25,1,NA,298589.051445586,"model","327","tet"
0.25,2,NA,434815.569865678,"model","327","tet"
0.25,3,NA,633004.732056698,"model","327","tet"
0.25,4,NA,921130.327715917,"model","327","tet"
0.25,6,NA,1946288.77773969,"model","327","tet"
